title,creator,contributor,subject_local,subject_lcsh,description,normalized_date,dimension,genre,format,source_id,identifier,source_collection,copyright_status,rights_holder,filename
Labor History - 48: Knights Decline,Fred Wright,James Lerner,Union Organization,Labor unions--Organizing--United States.; Knights of Labor (U.S.); Federation of Organized Trades and Labor Unions of the United States and Canada.; American Federation of Labor.; Labor unions--United States--History--19th century.,"This cartoon shows the decline of the Knights of Labor. Caption 1:  Although the Knights of Labor had grown to a big national federation of at least 700,000 members by the early 1880's, it had begun to decline when the Haymarket case took place. Its leader, Terence Powderly opposed the 8-hour day strikes and like the present head of the AFL-CIO, George Meany, boasted that he had never participated in a strike. Instead of striking, he advised members to write essays on the 8-hour day.  Caption 2:  The organization's funds were invested in cooperatives which were presented as the way to beat ""the system."" The cooperatives were a failure. Strikes initiated by the members in different parts of the country were not supported by the Knights and most of them were lost. In two years' time the membership dwindled to 200,000. By 1893 it had dropped to 75,000.  Caption 3:  An unsuccessful attempt was made to end rivalry between the Federation of Organized Trades and Labor Unions which had been formed in 1881 and the Knights. When this proved impossible, representatives of 25 labor organizations with a membership of 150,000 met at Columbus, Ohio in Dec., 1886 to form the American Federation of Labor with Samuel Gompers, a cigar maker union official, as president. UE News, Vol. XXXIV, Issue No. 5",1972-03-06,,Publication plate,Comic strips,ue13.3.1.048,ue13.3.1.048,ue13.3.1,copyrighted,,20080924-fredwright-0048.tif
Labor History - 49: Early Fight for 8-Hour Day,Fred Wright,James Lerner,"Average Work Day, Union Organization",Eight-hour movement--United States.; Hours of labor--United States.; American Federation of Labor.; Labor unions--United States--History--19th century.,"This cartoon depicts how the AFL and it's leader, Samuel Gompers, initiated a massive movement for the 8-hour work day all throughout the country.  Workers everywhere convened in mass meetings and demonstrated to show their support. Caption 1:  The newly-formed American Federation of Labor decided in 1888 to make the winning of the 8-hour day its prime aim. Pamphlets were to be printed, meetings held and the whole working people prepared for a general strike on May 1, 1890. Unorganized workers were called to set up Eight-Hour Leagues. A Slogan of the movement was: ""Eight hours for work, eight hours for rest, eight hours for what we will.""  Caption 2:  On Washington's birthday, 1889, 240 mass meetings were held in as many cities which adopted 8-hour day resolutions. On July 4, 311 such meetings took place. On Labor Day the number had grown to 420. The AFL distributed over half a million circulars, 50,000 pamphlets. Pres. Samuel Gompers urged an International socialist meeting in Paris that year to mark May 1 as ""International Labor Day,"" the start of the 8-hour day.  Caption 3:  After further consideration it was decided to forego a general strike but to have the Carpenters start the fight with the backing of the rest of labor. On May 2, 1890 a New York daily headlined: ""Everywhere the Workmen Join in Demands for a Normal Day."" Another headline: ""Parade of Jubilant Workingmen In All the Trade Centers of the Civilized World."" Thirty thousand marched in Chicago; 70 unions were in the N. Y. demonstration. UE News, Vol. XXXIV, Issue No. 6",1972-03-20,,Publication plate,Comic strips,ue13.3.1.049,ue13.3.1.049,ue13.3.1,copyrighted,,20080924-fredwright-0049.tif
Labor History - 50: Homestead Strike I,Fred Wright,James Lerner,"Strikes, Scabs","Homestead Strike, Homestead, Pa., 1892.; Strikes and lockouts--Pennsylvania--Homestead.; Carnegie Steel Company.; Strikebreakers--Pennsylvania--Homestead.; Labor unions--United States--History--19th century.","This cartoon depicts the strike of steelworkers in Homestead, Pa.  The workers were locked out of the factory after they rejected company demands, and soon the company was advertising for scabs. Caption 1:  The demand for the 8-hour day in 1890 was so popular among working people that unions experienced very rapid growth. In four months the Carpenters Union added 132 new locals. And it won its demand. As a result of the May 1st strikes that year, hundreds of thousands of workers across the country had their hours reduced. AFL Pres. Gompers wrote that with this movement labor had won new ""courage and hope.""  Caption 2:  Two years later, labor was up against a major attack from some of the biggest employers. Officials of the Carnegie Steel Co. informed employees at the Homestead, Pa., works that at the expiration of the contract with the Amalgamated Assn. of Iron and Steel Workers, the union would no longer be recognized and wages cut by a 22 percent average. The workers rejected the company demands but sought further negotiations.  Caption 3:  Instead, they soon found themselves locked out. Although the union had been limited to the skilled workers, all 3,800, including those who had not been permitted to join, voted to fight the company. The workers put a steam launch onto the river to watch for scabs. The company began advertising for scabs as far away as Boston, St. Louis and Philadelphia. It arranged for 300 Pinkerton guards to run in scabs. UE News, Vol. XXXIV, Issue No. 7",1972-04-03,,Publication plate,Comic strips,ue13.3.1.050,ue13.3.1.050,ue13.3.1,copyrighted,,20080924-fredwright-0050.tif
Labor History - 51: Homestead Strike II,Fred Wright,James Lerner,"Strikes, Scabs","Homestead Strike, Homestead, Pa., 1892.; Strikes and lockouts--Pennsylvania--Homestead.; Carnegie Steel Company.; Strikebreakers--Pennsylvania--Homestead.; Labor unions--United States--History--19th century.","This cartoon depicts how the company hired 300 armed guards who went to the strike grounds so that new workers could begin to work instead of those on strike, however the strikers tried to stop them. 8,000 National Guardsmen were brought in to the mill. Caption 1:  The 300 Pinkerton guards hired to break the strike of Homestead steelworkers were armed with rifles and put on two barges towed by a steamboat down the Monongahela River, a few miles from the struck mill. The aim was to sneak them in unseen by the strikers. But this maneuver failed when the strikers got wind of it. They broke through the fence surrounding the mill.  Caption 2:  The barges they had come on were set afire. All over the country labor protested this brutal attack and the strike continued with wide support from labor. A few days later, however, Gov. Pattison answered the demand of the Carnegie Steel Co. and ordered out 8,000 National Guardsmen. His reason: ""the actual communism of these people. They believe the works are their's quite as much as Carnegie's.  Caption 3:  The armed strikebreakers started firing into the crowd and were answered in kind. The workers floated burning, oil-soaked boxes on the river. The battle of Homestead had started at 4 a.m. on July 6, 1892. It raged until 5 that afternoon. At least 9 workers were killed and three of the Pinkertons. Surrender terms were finally agreed on-the agents were to march off to a skating rink. UE News, Vol. XXXIV, Issue No. 8",1972-04-17,,Publication plate,Comic strips,ue13.3.1.051,ue13.3.1.051,ue13.3.1,copyrighted,,20080924-fredwright-0051.tif
Labor History - 52: Homestead Strike III,Fred Wright,James Lerner,"Strikes, Scabs","Homestead Strike, Homestead, Pa., 1892--Trials, litigation, etc..; Strikes and lockouts--Pennsylvania--Homestead.; Carnegie Steel Company.; Strikebreakers--Pennsylvania--Homestead.; Labor unions--United States--History--19th century.","This cartoon shows that while scabs were brought into the plant by the National Guardsmen, many strikers and union leaders were charged with numerous offenses. In November, the strike collapsed and strikers went back to work, many of whom were fired. Caption 1:  National Guardsmen started escorting scabs into the Homestead plant and 7 strikers were charged with murdering a Pinkerton dick. But still the Carnegie Steel Co. could not get the mill going. It persuaded a Grand Jury to indict 167 workers on six counts including murder, rioting and conspiracy. The strike leaders were jailed and denied bail. For the rest half a million dollars bail was ordered. It couldn't be raised.  Caption 2:  To these charges was added one of ""treason"" against the strike advisory committee and 34 were held on this. State Supreme Court Judge Paxson told the trial jury that the ""foreigners"" among the laboring population had to be taught a lesson about what liberty means. The jury thought otherwise and all strikers were acquitted. But the expense of the legal defense and the time this took was a heavy burden.  Caption 3:  By November the strike which had begun in July was proving too great a burden to the workers. Strike relief dwindled. The fight had to be called off. When the workers returned to their jobs, company superintendent Charles M. Schwab made them line up for him to choose those he wanted to rehire. The strike broke the union, the Amalgamated Association of Iron, Steel and Tin workers. Carnegie plants were never organized-until the 1930's. UE News, Vol. XXXIV, Issue No. 9",1972-05-01,,Publication plate,Comic strips,ue13.3.1.052,ue13.3.1.052,ue13.3.1,copyrighted,,20080924-fredwright-0052.tif
Labor History - 53: Convict Labor I,Fred Wright,James Lerner,"Strikes, Scabs",Convict labor--Tennessee--Coal Creek.; Strikes and lockouts--Tennessee--Coal Creek.; Labor unions--United States--History--19th century.,"In 1891, miners at Coal Creek, Tennessee fought against the state using convict labor to fill in for the miners on strike. The miners used guns and captured the convicts and the guards, using them as tools for negotiation with the governor. Caption 1:  The Homestead steel strike wasn't the only one to be smashed in the early 1890's by a combination of employer violence-courts and troops. At Coal Creek, Tenn. in 1891 miners fought against the use of convict labor supplied by the state. Prisoners were sent to tear down the strikers' homes and the lumber was used to build a stockade for the strikebreaker-criminals.  Caption 2:  Miners and other citizens, armed with guns, marched on the stockade, seized the convicts and their guards and paraded them to a railroad. The governor sent in the militia. The state labor movement advised him that if any shots were fired, 7,500 men would come to back the miners. Two thousand armed workingmen were outside when a committee went to see the militia commander.  Caption 3:  The commander gave up the thought of seizing the committee, and permitted the miners to march the convicts and his troops to a train. Elsewhere other groups of convicts were shipped away. The governor called a special session of the legislature where he said that giving up convict labor would cost the state $100,000 a year. He got a new law making interference with the convicts a worse crime punishable by 5 years in prison. UE News, Vol. XXXIV, Issue No. 10",1972-05-15,,Publication plate,Comic strips,ue13.3.1.053,ue13.3.1.053,ue13.3.1,copyrighted,,20080924-fredwright-0053.tif
Labor History - 54: Convict Labor II,Fred Wright,James Lerner,"Strikes, Scabs",Convict labor--Tennessee.; Labor unions--United States--History--19th century.,"Miners with guns would go to places in Tennessee where convict labor was being used and would free the convicts. Troops were brought in and leaders were convicted, which ended the movement, however convict labor came to an end shortly after. Caption 1:  Repeatedly, contingents of miners returned to areas where convicts were being employed in the Tennessee coal mines. Armed, some with masked faces, the miners would free the convicts and in some cases supply them with civilian clothes. Rewards for arrests of the union leaders went untaken as there was wide support for the workers.  Caption 2:  In August, 1892, 3,000 Tennessee and Kentucky miners assaulted a convict stockade at Oliver Springs, Tenn. They disarmed the militia and burned the stockade. Railroad workers refused to move a regiment of militia to the scene from  Chattanooga. Finally, troops armed with artillery came to attack the workers and drove them from the hills opposite Fort Anderson.  Caption 3:  Arrests, convictions of leaders to jail terms and use of troops finally broke the fight against convict mine labor. But such tremendous support had been gained by the United Mine Workers that when the state's contract to supply convicts to the Tennessee Coal, Iron and Railway Co. ran out in 1896, it was not renewed. It had taken 25 years to end the use of convict labor in Tennessee. UE News, Vol. XXXIV, Issue No. 11",1972-05-29,,Publication plate,Comic strips,ue13.3.1.054,ue13.3.1.054,ue13.3.1,copyrighted,,20080924-fredwright-0054.tif
Labor History - 55: Western Miners Organize,Fred Wright,James Lerner,"Strikes, Scabs",Miners--Labor unions--West (U.S.); Strikes and lockouts--Miners--West (U.S.); Strikebreakers--West (U.S.); Labor unions--Organizing--West (U.S.); Western Federation of Miners.; Labor unions--United States--History--19th century.,"This cartoon describes a fight that broke out between miners in Idaho and the mine owners over wage cuts and an attempted lock-out; the end of this fight resulted in the formation of the Western Federation of Miners. Caption 1:  While the miners were fighting convict labor in Tennessee others in that industry were also organizing against slave conditions. Replying to such organization, mine owners in Couer d'Alene, Idaho formed a Mine Owners' Protective Assn. in 1892. They closed the mines and announced a 25 percent wage cut accompanied by a declaration that they'd no longer employ anybody belonging to a union.  Caption 2:  Scabs were brought from Minnesota; armed guards toured Idaho to recruit farmers as scabs or deputized U.S. marshals. Many of the scabs were persuaded by the locked-out miners to go home. At one mine which was working, the miners loaded a railroad car with explosives and sent it on its way. The mine was destroyed and the scabs surrendered. In the fight that followed three miners were killed.  Caption 3:  Their lock-out being defeated, the mine operators had the governor declare a ""state of insurrection."" About 1,500 federal troops and militia came, threw 600 workers into ""bull pens,"" arrested the strike leaders and supporters of the union. Of over 500 indicted only nine were convicted of contempt of injunction. The lockout was beaten, the wage cut taken back and the basis laid for the Western Federation of Miners. UE News, Vol. XXXIV, Issue No. 12",1972-06-12,,Publication plate,Comic strips,ue13.3.1.055,ue13.3.1.055,ue13.3.1,copyrighted,,20080924-fredwright-0055.tif
Labor History - 56: Coxey's Army,Fred Wright,James Lerner,"Economy, Strikes","Depressions--1893--United States.; Coxey, Jacob Sechler, 1854-1951.; Coxey's Army.; Working class--United States--Political activity.; Unemployed--United States--Political activity.; Labor unions--United States--History--19th century.","This cartoon describes the demonstrations for jobs led by Ohio manufacturer Jacob Coxey during the 1893 depression. Caption 1:  One of the major depressions which have hit the country periodically struck in 1893. Out of five million workers at least three million lost their jobs. Sixteen thousand companies including 642 banks went broke. The AFL urged labor to hold demonstrations to demand relief. In many cities the unemployed were attacked by the police but many cities were forced to set up soup kitchens and provide work in parks.  Caption 2:  Wages for such work was about 10 cents an hour for family men-feed and lodging for others. At its 1893 convention the AFL declared that the ""right to work is the right to life,"" and called for federal action. The following spring a rich Ohio manufacturer, Jacob Coxey, called for public works to provide jobs. He called for a march on Washington and the response came from all over the U. S. Ten thousand arrived there on May 1, 1894.  Caption 3:  The marchers sold a song about their cause for which the price was ""One loaf of bread to feed Coxey's army."" AFL central bodies had endorsed the march. The marchers defied the authorities' ban on parading or carrying banners through the Capitol grounds. Coxey was arrested and sentenced to 20 days for ""walking on the grass."" It wasn't until August 15 that the army had to disband. UE News, Vol. XXXIV, Issue No. 13",1972-06-26,,Publication plate,Comic strips,ue13.3.1.056,ue13.3.1.056,ue13.3.1,copyrighted,,20080924-fredwright-0056.tif
Labor History - 57: One Big Rail Union,Fred Wright,James Lerner,Union Organization,"American Railway Union.; Debs, Eugene V. (Eugene Victor), 1855-1926.; Railroads--Employees--Labor unions--United States.; Railroads--Employees--Labor unions--Organizing--United States.; Strikes and lockouts--Railroads--United States.; Labor unions--United States--History--19th century.","This cartoon describes the formation of the American Railway Union. Caption 1:  Coxey's army of the unemployed dramatized labor's plight but Congress did nothing. Meanwhile, the employers set out to use the 1893 depression to smash unions. Many unions went broke defending their members. AFL Pres. Gompers wrote that there weren't ""more than two National Unions"" which hadn't been crippled by the attacks. Despite this new groups of workers had to take up organization.  Caption 2:  Outstanding development was the formation of the American Railway Union. Five railroad brotherhoods had been operating independently-and ineffectively. Only one-tenth were organized and annual wages were $957 for engineers, $575 for conductors, $212 for brakemen, $264 for switchmen. Eugene Victor Debs, editor of the Locomotive Firemen's Magazine, called for one single union of all railroad workers. Early attempts to federate failed because some leaders objected.  Caption 3:  When Buffalo, N. Y. switchmen struck for a 10-hour day, they were attacked by the state militia. Their appeal for help from the railroad brotherhoods was turned down so the strike had to be called off. There was new demand for one rail union and Debs pushed ahead. A conference in Chicago formed the ARU to be open to all ""white employees"" of railroads except superintendents and other company officials. Dues were set at $1 a year. UE News, Vol. XXXIV, Issue No. 14",1972-07-26,,Publication plate,Comic strips,ue13.3.1.057,ue13.3.1.057,ue13.3.1,copyrighted,,20080924-fredwright-0057.tif
Labor History - 58: Pullman Strike,Fred Wright,James Lerner,"Strikes, Union Organization","American Railway Union.; Debs, Eugene V. (Eugene Victor), 1855-1926.; Railroads--Employees--Labor unions--United States.; Strikes and lockouts--Railroads--Illinois--Chicago.; Pullman Company.; Labor unions--United States--History--19th century.","This cartoon depicts how the American Railway Union organized anyone who was interested and were able to organize much bigger strikes. Caption 1:The American Railway Union, sparked by Eugene Victor Debs, drew thousands of members from the various craft unions and from the unorganized. For the first time, when a rail strike was called as one at the Great Northern, all the workers came out. The 9,000 strikers won a tremendous victory and within a year the ARU had grown to 150,000 from 50 members. It had become the biggest union in the country.   Caption 2:  This could not be tolerated by the companies. At Pullman, Ill. employees of the Pullman Co. had their wages cut as much as 50 percent. In the spring of 1894 4,000 Pullman workers joined Debs' union. When their grievance committee was fired, they struck without even getting authorization from the parent union. When Debs proposed arbitration, the company said: ""We have nothing to arbitrate.""  Caption 3:  Scabs were brought in from all over the U.S. and Canada. An employer association said it would blacklist forever any rail worker who refused to scab. The strike spread until 150,000 were out across the country-as far as California. Old-line rail union leaders said they'd provide scabs if called on by the companies. The U.S. Attorney General applied for an injunction against Debs, his associates and the strikers. UE News, Volume XXXIV, Issue No. 16",1972-08-07,,Publication plate,Comic strips,ue13.3.1.058,ue13.3.1.058,ue13.3.1,copyrighted,,20080924-fredwright-0058.tif
Labor History - 59: Troops Kill Pullman Strikers,Fred Wright,James Lerner,"Politics and Legislation, Strikes",American Railway Union.; Railroads--Employees--Labor unions--United States.; Strikes and lockouts--Railroads--Illinois--Chicago.; Pullman Company.; Labor unions--United States--History--19th century.,"This cartoon details the legal lengths employers went to end the Pullman strike, the violence that resulted in the death and injury of workers and the Union's determination to keep the railroads shut. Caption 1:  A strike-strangling injunction was issued by a federal judge against the Pullman strikers. The company threatened not to rehire thousands of strikers. Railroad attorney Edwin Walker, appointed special government  attorney, wired Washington that the workers' defiance of the injunction established a need for troops. On July 3, 1894 President Cleveland complied.  Caption 2:  Defying Illinois Gov. Altgeld who said: ""It is not the business of the soldiers to act as custodians or guards of private property,"" the President directed the forces stationed at Fort Sheridan to go to Chicago. The governor wired Cleveland his protest and said that there was no need for troops and that the newspapers had manufactured anti-labor hysteria.  Caption 3:  Newspapers called the strike ""A Revolution."" They lied that hundreds of freight cars had been burned by the strikers. A typical headline was: ""Anarchists and Socialists Said to Be Planning the Destruction and Looting of the Treasury."" The troops killed 25 workers, injured 60. Yet the American Railway Union kept three fourths of the railroads shut. UE News, Volume XXXIV, Issue No. 17",1972-08-21,,Publication plate,Comic strips,ue13.3.1.059,ue13.3.1.059,ue13.3.1,copyrighted,,20080924-fredwright-0059.tif
Labor History - 60: Debs' Arrest Breaks Strike,Fred Wright,James Lerner,Politics and Legislation,"American Railway Union.; Debs, Eugene V. (Eugene Victor), 1855-1926.; Railroads--Employees--Labor unions--United States.; Strikes and lockouts--Railroads--Illinois--Chicago.; Pullman Company.; Labor unions--United States--History--19th century.","This cartoon tells how the rail strike was ended once union leaders were arrested and how Eugene Debs came to realize that if the federal government would be used against them, they needed their own political party to fight back. Caption 1:  While the troops shot at the Pullman rail strikers, the courts were indicting them by the hundreds for ignoring the federal injunction. Eugene V. Debs and the other union heads were among those arrested. Chicago union headquarters were raided and wrecked by deputy marshals. The big strike was left leaderless with no one to advise the workers in different parts of the country. An attempt to organize a general strike failed.  Caption 2:  The strike was broken amid charges that AFL Pres. Samuel Gompers had betrayed it by ""refusing to rally labor support for the rail workers. In his biography the AFL head later wrote that one of the things he had in his mind was weakening the American Railway Union on behalf of the old line craft rail unions. To this day the railway workers are divided into many separate craft groups-something which Debs had tried to end.    Caption 3:  Debs was sent to jail for six months and the other union leaders for lesser terms. His lawyer was the then unknown Clarence Darrow. By 1897 practically nothing was left of the American Railway Union. To Debs the use of the federal government to smash the Pullman strike was evidence that workers needed a political party to fight capitalism. He and the remaining ARU leaders later set up the Social Democratic Party. UE News, Volume XXXIV, Issue No. 18",1972-09-04,,Publication plate,Comic strips,ue13.3.1.060,ue13.3.1.060,ue13.3.1,copyrighted,,20080924-fredwright-0060.tif
Labor History - 61: The Populist Movement,Fred Wright,James Lerner,"Politics and Legislation, Union Organization, Average Work Day",Populist Party (U.S.); Working class--United States--Political activity.; Labor unions--United States--History--19th century.,"This cartoon is about the early organization of the Populist People's party and some of the changes it managed to effect before it died out. Caption 1:  Repeated depressions, smashing of strikes by government injunction and troops, the force being used to break up demonstrations of hungry working people, and the squeeze on the farmers inspired new attempts at independent political action in the 1890's. Foremost was the People's Party which grew up among the midwest farmers. Among the demands of the party were an 8-hour day and outlawing of the Pinkerton detective agency strikebreakers.  Caption 2:  Many unions joined the Populists (People's Party). In its first presidential election, the party polled over a million votes receiving 22 electoral college votes. Ten Representatives and five Senators were elected by the party. In several states their candidates for governor won. When Cripple Creek, Col. miners struck for an 8-hour day in 1894, Populist Gov. Waite called out the troops to protect them. In Kansas, Populist Gov. Lewelling demanded that the railroads remove strikebreakers.  Caption 3:  But the leaders of the AFL, led by Gompers, were determined that labor steer clear of politics. This greatly weakened the third party. The party was also torn between those who favored a fight against monopolies and others who would use it to promote free coinage of silver. By 1896 the People's Party was washed up. UE News, Volume XXXIV, Issue No. 20",1972-10-02,,Publication plate,Comic strips,ue13.3.1.061,ue13.3.1.061,ue13.3.1,copyrighted,,20080924-fredwright-0061.tif
"Labor History - 62: ""Divine Right"" Baer",Fred Wright,James Lerner,"Strikes, Businesses","American Federation of Labor.; United Mine Workers of America.; Strikes and lockouts--Coal mining--Pennsylvania.; Baer, George F. (George Frederick), 1842-1914.; Alien labor--United States.; Labor unions--United States--History--19th century.","This cartoon deals with the AFL's systematic exclusion of unskilled workers and immigrants and company owners' refusal to recognize unions. Caption 1:  The loss of the Homestead steel and Pullman strikes encouraged those in the AFL who wanted to restrict the organization to craft unionism. Generally these were the same who were against admitting the unskilled Negroes and millions of immigrants arriving in the country at the end of the 19th century. The AFL leaders demanded that immigration be stopped. They said Italians, Poles, Russians, Rumanians, Slovaks could never be organized.  Caption 2:  These immigrants were denounced as being criminal types, willing to work for low wages, or as radical trouble-makers. One union which tried to unite instead of divide was the United Mine Workers, organized in 1890. Two years later, 150,000 miners answered a strike call in the eastern Pennsylvania anthracite mines. With a 10-hour day, frequent layoffs, their yearly earnings averaged $300. Fatal accidents were frequent, 441 being killed in 1901 alone.  Caption 3:  The united operators hired 3,000 ""coal and iron"" police and 1,000 special deputies to herd scabs. George F. Baer, the owners' spokesman, declared that ""God in His infinite wisdom has given the control of the property interests"" to the mine owners and refused to deal with the union. As usual the press denounced the strike as an insurrection, Baer rejected Pres. Roosevelt's offer to start arbitration and rebuked the President for interfering. UE News, Volume XXXIV, Issue No. 21",1972-10-16,,Publication plate,Comic strips,ue13.3.1.062,ue13.3.1.062,ue13.3.1,copyrighted,,20080924-fredwright-0062.tif
Labor History - 63: First National Contract,Fred Wright,James Lerner,"Politics and Legislation, Businesses, Union Organization, Average Work Day","United Mine Workers of America.; Strikes and lockouts--Coal mining--United States.; Coal miners--Labor unions--United States.; Baer, George F. (George Frederick), 1842-1914.; Roosevelt, Theodore, 1858-1919.; Contracts for work and labor--United States.; Labor unions--United States--History--19th century.","This cartoon is about the coal miners' victory of a national contract guaranteeing them an 8 hour work day and a 10 percent wage increase. Caption 1:  As self-appointed agent of God, mine owner George F. Baer refused to accept Pres. Theodore Roosevelt's offer to arbitrate the 1902 miners strikes. After an angry meeting with the mine owner the President said: ""If it wasn't for the high office I hold, I would have taken him by the seat of the breeches and the nape of the neck and chucked him out of that window."" Ten thousand Pennsylvania state troopers could not force the miners to the wall.  Caption 2:  The president decided to send the army in to seize the mines, throw out the operators and have the government run them. He sent Secretary of War Root to tell that to J. P. Morgan, held to be the real power behind the mine operators. The owners caved in and agreed to arbitrate, The President appointed the head of the Railway Conductors Union to the board.  Caption 3:  The arbitrators granted a 10 percent wage increase and reduced the 9-hour day to 8. The victory of the 200,000 Pennsylvania, Virginia, West Virginia, Ohio, Indiana and Illinois soft coal miners resulted in the first national contract in a major industry. The mine union membership leaped from 10,000 to 117,000 in two years and all of labor was pushed ahead on the road to an 8-hour day. UE News, Volume XXXIV, Issue No. 22",1972-10-30,,Publication plate,Comic strips,ue13.3.1.063,ue13.3.1.063,ue13.3.1,copyrighted,,20080924-fredwright-0063.tif
Labor History - 64: The Danbury Hatters,Fred Wright,James Lerner,"Politics and Legislation, Union Organization, Businesses",National Association of Manufacturers (U.S.).; National Civic Federation.; Employers' associations--United States.; Union busting--United States.; Strikes and lockouts--Hat trade--Connecticut--Danbury.; Hatters--Labor unions--Connecticut--Danbury.; Labor unions--United States--History--20th century.,"This cartoon depicts the struggle unions had to be recognized by businesses, despite their rapidly increasing membership. Caption 1:  By 1904 unions had grown to a membership of over 2 million. And as always employers answered labor's advancing strength with new attacks. The National Assn. of Manufacturers, set up in 1895, the National Civic Federation and employer industry associations were on the rampage. U.S. Steel said it would not deal with any union. The packinghouse companies smashed strikes where union recognition was sought.  Caption 2:  For 14 years union and company fought through the courts. In 1916 the union finally was directed to pay $252,000. The bank accounts of the union members were attached and their homes subjected to attempts at  foreclosure. The entire labor movement rallied to the workers' defense and raised the money for the fines.  Caption 3:  The NAM convention in 1903 heard its president warn against ""an attitude of conciliation . . . the greatest danger lies in the recognition of the union."" A major struggle of the period was that of the Danbury, Conn. hatworkers in 1902 who sought union recognition. Their union was sued by the boss who charged violation of the Sherman Anti-Trust Act and wanted to triple damages levied against the local union and each member. UE News, Volume XXXIV, Issue No. 23",1972-11-13,,Publication plate,Comic strips,ue13.3.1.064,ue13.3.1.064,ue13.3.1,copyrighted,,20080924-fredwright-0064.tif
Labor History - 65: Anti-Trust Laws Misused,Fred Wright,James Lerner,"Politics and Legislation, Businesses","United States. Sherman Act.; Strikebreaking--United States.; Trusts, Industrial--United States.; Labor unions--United States--History--20th century.","This cartoon depicts big business control over government and misuse of legislation, like the Anti-Trust Act, to stamp down union rebellion. Caption 1:  The turning of the Sherman anti-trust act into a weapon to break strikes; the use of court injunctions for the same end aroused the labor movement to a new danger. Then, AFL Pres. Samuel Gompers was sentenced to a year in jail for advising workers to boycott products of a struck stove company. The AFL leader was shocked that even though he was trying to promote friendship for employers, and oppose independent political action, he was given treatment usually reserved for labor radicals.  Caption 2:  The Supreme Court overthrew the Gompers conviction but the AFL convention in 1906 appealed to Congress for exemption from the Sherman Act and relief from court injunctions. Ignored, Gompers asked the Democratic and Republican conventions two years later for support. It opposed Republican Presidential nominee, William Howard Taft because he was an injunction judge. It supported the Democrats although Gompers had always insisted labor should not take political sides.  Caption 3:  The assaults on labor, supported by government led to a drop in AFL members so that by 1910 there were fewer belonging than in 1904. Labor was facing a new situation-giant industrial trusts like U.S. Steel, International Harvester, General Electric. These were the creations of the bankers headed by J. P. Morgan. A handful of men were manipulating the country. With their huge wealth they became tough customers for labor. UE News, Volume XXXIV, Issue No. 24",1972-11-27,,Publication plate,Comic strips,ue13.3.1.065,ue13.3.1.065,ue13.3.1,copyrighted,,20080924-fredwright-0065.tif
Labor History - 66: The IWW Is Formed,Fred Wright,James Lerner,"Union Organization, Politics and Legislation","Western Federation of Miners.; Industrial Workers of the World.; Labor unions--Organizing--United States.; Debs, Eugene V. (Eugene Victor), 1855-1926.; Haywood, William D.; Labor unions--United States--History--20th century.","This cartoon illustrates how unions like the Industrial Workers of the World were started to protect unskilled workers who were still denied membership to the AFL, and the general socialist sentiments of many of these groups. Caption 1:  Despite the growth of the big industrial trusts which employed large numbers of semi-skilled and unskilled workers, the AFL persisted in its philosophy of organizing only skilled crafts. These corporations were smashing strike after strike, in many cases with government support. Demands grew among workers for industrial organization based on militant defense of labor's rights.  Caption 2:  With the independent Western Federation of Miners as a cornerstone, the Industrial Workers of the World came into being in 1905. Metal miners, lumberjacks, migratory harvest workers, textile workers were among those who joined the IWW. Tough, uncompromising and overriding the prejudices which had limited the AFL's organizing activities, the IWW stirred the whole country. Socialist Eugene Debs, William D. Haywood of the Western Federation of Miners were among its founders. Haywood denounced the AFL as being the ""American Separation of Labor.""  Caption 3:  He and others who led the IWW believed that labor must take over the means of production, the machinery, the factories. They called for a ""workers' government"" to replace capitalism. Many songs, still sung by labor everywhere, grew out of the IWW battles which expressed their militancy. Typical was: 0! I like my boss He's a good friend of mine, And that's why I'm starving Out on the picket line. UE News, Volume XXXIV, Issue No. 25",1972-12-11,,Publication plate,Comic strips,ue13.3.1.066,ue13.3.1.066,ue13.3.1,copyrighted,,20080924-fredwright-0066.tif
